customer_id,tenure_months,monthly_charges,contract,internet_service,tech_support,payment_method,support_tickets,churn
CX00000,69,99.93,Month-to-month,None,No,Electronic check,1,0
CX00001,46,53.41,Month-to-month,Fiber,No,Electronic check,2,0
CX00002,50,68.12,Month-to-month,None,Yes,Credit card,2,0
CX00003,65,60.1,Month-to-month,Fiber,No,Bank transfer,1,0
CX00004,42,51.75,Month-to-month,Fiber,No,Mailed check,1,1
CX00005,56,41.83,Month-to-month,None,Yes,Credit card,3,0
CX00006,61,69.33,Month-to-month,Fiber,Yes,Electronic check,2,0
CX00007,17,29.89,One year,Fiber,No,Electronic check,1,0
CX00008,4,70.43,One year,DSL,No,Credit card,1,1
CX00009,22,68.46,Two year,DSL,No,Bank transfer,2,1
CX00010,21,53.53,Two year,Fiber,No,Credit card,1,1
CX00011,63,45.76,Month-to-month,DSL,Yes,Credit card,1,0
CX00012,66,37.55,Two year,Fiber,No,Credit card,1,0
CX00013,1,109.17,One year,Fiber,No,Credit card,0,1
CX00014,36,38.48,One year,Fiber,No,Bank transfer,1,0
CX00015,60,102.27,Two year,Fiber,No,Bank transfer,2,0
CX00016,10,81.2,Month-to-month,Fiber,No,Electronic check,0,1
CX00017,58,59.99,Month-to-month,Fiber,Yes,Electronic check,1,0
CX00018,9,42.54,Month-to-month,Fiber,Yes,Mailed check,2,1
CX00019,34,90.93,Month-to-month,None,Yes,Credit card,0,0
CX00020,59,106.05,One year,Fiber,No,Bank transfer,2,0
CX00021,22,47.45,One year,Fiber,No,Credit card,2,0
CX00022,25,61.43,One year,None,No,Electronic check,2,0
CX00023,21,91.14,Month-to-month,DSL,Yes,Credit card,2,1
CX00024,52,75.39,Month-to-month,None,No,Mailed check,1,0
CX00025,19,112.0,One year,Fiber,No,Bank transfer,2,1
CX00026,72,55.46,One year,DSL,No,Mailed check,0,0
CX00027,33,79.93,Month-to-month,Fiber,No,Electronic check,2,1
CX00028,35,40.48,Month-to-month,None,No,Mailed check,1,1
CX00029,37,114.11,Month-to-month,Fiber,No,Electronic check,4,1
CX00030,42,51.93,One year,None,Yes,Credit card,0,0
CX00031,40,19.42,One year,Fiber,No,Mailed check,2,0
CX00032,37,65.23,Month-to-month,DSL,No,Bank transfer,0,0
CX00033,72,64.93,Two year,DSL,Yes,Electronic check,2,0
CX00034,59,110.14,Month-to-month,DSL,Yes,Mailed check,1,0
CX00035,58,60.55,Month-to-month,Fiber,Yes,Electronic check,2,0
CX00036,51,67.72,Month-to-month,None,No,Credit card,3,0
CX00037,45,81.06,One year,DSL,Yes,Credit card,3,0
CX00038,25,102.9,One year,Fiber,No,Bank transfer,1,1
CX00039,72,66.61,One year,DSL,Yes,Credit card,0,0
CX00040,34,90.87,Two year,Fiber,No,Mailed check,1,1
CX00041,16,79.4,Month-to-month,DSL,No,Mailed check,1,0
CX00042,61,61.48,Month-to-month,DSL,No,Credit card,2,0
CX00043,12,69.71,Month-to-month,Fiber,Yes,Credit card,0,0
CX00044,62,68.63,One year,Fiber,No,Electronic check,4,1
CX00045,45,47.85,Month-to-month,Fiber,No,Bank transfer,1,0
CX00046,9,94.7,Month-to-month,DSL,Yes,Bank transfer,0,1
CX00047,4,37.52,One year,DSL,Yes,Bank transfer,0,0
CX00048,33,93.77,Two year,None,Yes,Mailed check,0,0
CX00049,3,89.0,Two year,Fiber,No,Mailed check,0,0
CX00050,11,65.95,Month-to-month,Fiber,No,Bank transfer,3,0
CX00051,38,51.16,Month-to-month,DSL,Yes,Mailed check,0,0
CX00052,70,63.02,Two year,DSL,Yes,Bank transfer,3,0
CX00053,34,78.4,Two year,DSL,Yes,Credit card,1,1
CX00054,59,84.35,Month-to-month,DSL,No,Electronic check,1,0
CX00055,67,74.31,Two year,Fiber,Yes,Mailed check,1,0
CX00056,60,89.83,One year,DSL,Yes,Bank transfer,2,0
CX00057,46,55.74,Month-to-month,None,No,Mailed check,1,0
CX00058,32,73.16,Month-to-month,Fiber,No,Electronic check,2,0
CX00059,38,33.5,Month-to-month,DSL,Yes,Electronic check,2,0
CX00060,20,84.8,Month-to-month,DSL,No,Electronic check,0,1
CX00061,36,71.37,Month-to-month,None,Yes,Electronic check,0,1
CX00062,28,58.86,One year,Fiber,No,Electronic check,0,0
CX00063,18,93.55,Month-to-month,Fiber,No,Credit card,1,1
CX00064,72,83.21,One year,Fiber,No,Bank transfer,2,1
CX00065,1,18.0,One year,Fiber,Yes,Bank transfer,3,1
CX00066,7,68.88,Month-to-month,DSL,Yes,Electronic check,1,0
CX00067,14,35.99,One year,Fiber,No,Bank transfer,2,0
CX00068,70,91.47,Month-to-month,None,No,Bank transfer,2,0
CX00069,50,122.76,One year,Fiber,No,Electronic check,0,0
CX00070,64,56.59,Month-to-month,DSL,Yes,Electronic check,1,0
CX00071,15,69.64,Two year,Fiber,No,Electronic check,1,0
CX00072,52,62.48,Month-to-month,DSL,No,Electronic check,2,0
CX00073,27,75.72,Two year,Fiber,No,Bank transfer,3,0
CX00074,36,82.18,One year,Fiber,No,Mailed check,2,0
CX00075,1,96.32,Month-to-month,Fiber,Yes,Bank transfer,1,0
CX00076,45,46.28,One year,Fiber,No,Mailed check,2,0
CX00077,60,102.58,Month-to-month,Fiber,Yes,Credit card,2,1
CX00078,48,47.51,Month-to-month,None,No,Mailed check,1,0
CX00079,12,74.1,Month-to-month,None,No,Credit card,0,0
CX00080,39,93.49,One year,DSL,No,Mailed check,1,0
CX00081,20,83.69,Month-to-month,Fiber,No,Electronic check,2,1
CX00082,70,47.35,One year,None,No,Credit card,0,0
CX00083,64,52.56,Month-to-month,DSL,No,Bank transfer,3,0
CX00084,14,57.83,Month-to-month,None,Yes,Bank transfer,0,0
CX00085,37,66.87,One year,DSL,No,Electronic check,1,0
CX00086,68,93.23,Two year,Fiber,Yes,Electronic check,1,0
CX00087,61,39.58,Month-to-month,Fiber,Yes,Credit card,2,0
CX00088,51,78.27,Two year,Fiber,Yes,Electronic check,0,0
CX00089,47,81.42,Month-to-month,Fiber,Yes,Credit card,1,0
CX00090,4,80.28,One year,Fiber,Yes,Bank transfer,2,1
CX00091,54,78.26,Month-to-month,None,Yes,Credit card,1,0
CX00092,35,101.4,One year,Fiber,Yes,Credit card,1,0
CX00093,7,78.73,Month-to-month,DSL,Yes,Electronic check,1,1
CX00094,18,86.85,One year,Fiber,Yes,Mailed check,3,1
CX00095,39,80.4,Month-to-month,None,Yes,Credit card,0,0
CX00096,53,107.45,Month-to-month,DSL,No,Bank transfer,3,1
CX00097,37,26.2,One year,Fiber,No,Credit card,0,0
CX00098,45,96.21,Month-to-month,Fiber,Yes,Credit card,2,0
CX00099,63,62.26,Two year,DSL,Yes,Bank transfer,1,0
CX00100,50,61.82,One year,Fiber,No,Credit card,0,0
CX00101,27,46.67,Two year,Fiber,Yes,Electronic check,2,0
CX00102,47,26.89,Month-to-month,Fiber,Yes,Mailed check,2,0
CX00103,44,59.6,One year,Fiber,Yes,Credit card,2,0
CX00104,8,52.88,Month-to-month,DSL,No,Credit card,1,1
CX00105,5,78.87,Month-to-month,DSL,No,Credit card,2,1
CX00106,48,35.61,Month-to-month,DSL,No,Mailed check,4,0
CX00107,28,99.5,Month-to-month,Fiber,No,Bank transfer,1,0
CX00108,44,73.98,One year,DSL,No,Electronic check,0,1
CX00109,24,62.55,Month-to-month,DSL,Yes,Electronic check,1,0
CX00110,17,52.39,Month-to-month,Fiber,Yes,Bank transfer,0,1
CX00111,11,50.68,One year,Fiber,No,Electronic check,0,1
CX00112,28,43.14,Month-to-month,DSL,No,Bank transfer,0,1
CX00113,59,56.02,Month-to-month,DSL,No,Electronic check,2,1
CX00114,29,68.13,One year,Fiber,No,Credit card,0,0
CX00115,28,64.1,One year,DSL,No,Bank transfer,2,1
CX00116,42,36.88,One year,Fiber,No,Electronic check,1,1
CX00117,71,62.15,Two year,DSL,No,Credit card,1,0
CX00118,29,48.35,Two year,Fiber,Yes,Bank transfer,1,0
CX00119,43,71.52,Month-to-month,None,No,Bank transfer,1,0
CX00120,32,109.02,Two year,DSL,No,Credit card,0,0
CX00121,44,81.75,Month-to-month,DSL,No,Electronic check,2,1
CX00122,33,61.11,One year,None,Yes,Electronic check,3,0
CX00123,46,32.25,Month-to-month,DSL,No,Mailed check,1,1
CX00124,40,36.88,Month-to-month,DSL,No,Credit card,1,0
CX00125,49,30.89,One year,DSL,No,Electronic check,0,0
CX00126,69,83.97,Month-to-month,DSL,No,Mailed check,0,0
CX00127,11,51.17,One year,None,No,Mailed check,2,0
CX00128,41,69.38,Month-to-month,DSL,No,Credit card,3,0
CX00129,32,54.32,One year,Fiber,No,Electronic check,0,0
CX00130,26,70.01,One year,Fiber,Yes,Bank transfer,0,0
CX00131,18,98.84,One year,None,No,Bank transfer,4,0
CX00132,4,52.93,Month-to-month,DSL,No,Electronic check,0,0
CX00133,29,60.5,One year,DSL,No,Credit card,2,0
CX00134,60,50.26,Month-to-month,DSL,Yes,Electronic check,1,0
CX00135,7,87.24,One year,None,No,Credit card,1,0
CX00136,30,45.43,One year,Fiber,Yes,Electronic check,3,0
CX00137,70,43.07,Month-to-month,Fiber,No,Mailed check,2,1
CX00138,69,37.47,One year,Fiber,No,Electronic check,1,0
CX00139,16,37.01,Month-to-month,None,No,Electronic check,0,0
CX00140,1,78.36,One year,DSL,No,Mailed check,0,0
CX00141,49,124.52,Two year,DSL,No,Electronic check,4,0
CX00142,2,46.1,Two year,Fiber,Yes,Electronic check,1,1
