order_id,order_date,customer_id,region,channel,category,quantity,unit_price,discount,revenue,returned
ORD-000001,2024-01-01,C21896,South,Direct,Beauty,1,43.45,0.2,34.87,0
ORD-000002,2024-01-01,C11865,West,Marketplace,Apparel,3,57.29,0.05,163.77,0
ORD-000003,2024-01-01,C23214,West,Retail,Home,2,85.91,0.1,155.13,0
ORD-000004,2024-01-01,C15757,South,Direct,Wellness,1,37.82,0.0,37.94,0
ORD-000005,2024-01-01,C5165,North,Retail,Wellness,1,33.66,0.0,33.76,0
ORD-000006,2024-01-01,C3625,East,Direct,Apparel,2,55.85,0.1,100.84,0
ORD-000007,2024-01-01,C9433,North,Retail,Beauty,1,42.9,0.0,43.03,0
ORD-000008,2024-01-01,C2006,North,Direct,Electronics,1,134.8,0.05,128.46,0
ORD-000009,2024-01-01,C4774,West,Marketplace,Home,2,66.7,0.05,127.11,0
ORD-000010,2024-01-01,C1936,North,Marketplace,Apparel,1,57.06,0.1,51.51,0
ORD-000011,2024-01-01,C7316,West,Direct,Beauty,2,32.62,0.05,62.16,0
ORD-000012,2024-01-01,C20360,West,Retail,Apparel,2,43.97,0.05,83.8,0
ORD-000013,2024-01-01,C5354,West,Marketplace,Electronics,1,141.86,0.05,135.18,0
ORD-000014,2024-01-01,C21634,South,Wholesale,Apparel,2,52.22,0.0,104.77,0
ORD-000015,2024-01-01,C27167,North,Retail,Beauty,3,28.48,0.0,85.69,0
ORD-000016,2024-01-01,C18909,South,Retail,Home,2,49.09,0.1,88.64,0
ORD-000017,2024-01-01,C12666,West,Retail,Electronics,1,150.72,0.05,143.63,0
ORD-000018,2024-01-01,C13070,South,Marketplace,Apparel,3,41.24,0.05,117.91,1
ORD-000019,2024-01-01,C10365,West,Marketplace,Wellness,1,43.83,0.05,41.77,0
ORD-000020,2024-01-01,C23944,North,Marketplace,Home,1,76.24,0.05,72.65,0
ORD-000021,2024-01-01,C12850,North,Retail,Wellness,1,31.66,0.05,30.17,0
ORD-000022,2024-01-01,C7384,West,Direct,Electronics,3,176.35,0.0,530.69,0
ORD-000023,2024-01-01,C2010,West,Direct,Electronics,3,116.2,0.0,349.67,0
ORD-000024,2024-01-01,C5091,South,Retail,Wellness,1,36.9,0.2,29.61,0
ORD-000025,2024-01-01,C25075,West,Marketplace,Wellness,2,52.78,0.05,100.59,0
ORD-000026,2024-01-01,C2826,North,Retail,Electronics,1,105.94,0.0,106.27,0
ORD-000027,2024-01-01,C23440,East,Wholesale,Home,1,94.26,0.1,85.1,0
ORD-000028,2024-01-01,C27171,West,Retail,Apparel,1,62.86,0.05,59.9,0
ORD-000029,2024-01-01,C4289,North,Retail,Home,2,66.71,0.1,120.45,0
ORD-000030,2024-01-01,C9470,North,Marketplace,Wellness,1,38.04,0.05,36.25,0
ORD-000031,2024-01-01,C26801,West,Marketplace,Apparel,1,49.86,0.0,50.02,0
ORD-000032,2024-01-01,C23868,North,Wholesale,Home,1,67.45,0.1,60.89,0
ORD-000033,2024-01-01,C1481,South,Retail,Electronics,1,139.81,0.15,119.21,0
ORD-000034,2024-01-01,C15337,North,Marketplace,Beauty,3,35.25,0.0,106.09,0
ORD-000035,2024-01-01,C7691,East,Retail,Electronics,1,107.63,0.0,107.96,0
ORD-000036,2024-01-01,C13302,North,Wholesale,Apparel,1,52.59,0.0,52.75,0
ORD-000037,2024-01-01,C4118,West,Retail,Apparel,2,52.98,0.0,106.29,0
ORD-000038,2024-01-01,C7157,South,Direct,Wellness,1,43.85,0.0,43.99,0
ORD-000039,2024-01-01,C7733,North,Marketplace,Apparel,1,50.76,0.1,45.82,0
ORD-000040,2024-01-01,C16642,South,Direct,Apparel,4,52.8,0.1,190.66,0
ORD-000041,2024-01-01,C22045,West,Marketplace,Apparel,3,49.61,0.05,141.83,0
ORD-000042,2024-01-02,C8194,West,Marketplace,Apparel,1,51.46,0.0,51.78,0
ORD-000043,2024-01-02,C24063,West,Direct,Beauty,3,33.35,0.15,85.57,0
ORD-000044,2024-01-02,C13984,North,Direct,Electronics,1,171.41,0.05,163.85,0
ORD-000045,2024-01-02,C17790,North,Direct,Apparel,2,45.99,0.0,92.54,0
ORD-000046,2024-01-02,C20594,South,Wholesale,Apparel,1,42.53,0.1,38.51,0
ORD-000047,2024-01-02,C4492,South,Marketplace,Apparel,2,40.91,0.0,82.33,0
ORD-000048,2024-01-02,C16253,East,Direct,Home,1,78.56,0.05,75.09,0
ORD-000049,2024-01-02,C6623,West,Retail,Apparel,1,51.89,0.1,46.99,0
ORD-000050,2024-01-02,C19123,North,Retail,Electronics,1,117.46,0.0,118.19,0
ORD-000051,2024-01-02,C10741,West,Marketplace,Beauty,1,47.73,0.15,40.82,0
ORD-000052,2024-01-02,C22068,South,Direct,Wellness,1,48.59,0.1,44.0,0
ORD-000053,2024-01-02,C12645,West,Direct,Home,1,73.71,0.1,66.75,0
ORD-000054,2024-01-02,C8974,East,Wholesale,Beauty,1,38.19,0.2,30.74,0
ORD-000055,2024-01-02,C24312,North,Retail,Electronics,1,149.41,0.15,127.79,0
ORD-000056,2024-01-02,C1782,North,Retail,Electronics,2,132.44,0.0,266.52,0
ORD-000057,2024-01-02,C19066,East,Direct,Home,2,48.52,0.0,97.65,0
ORD-000058,2024-01-02,C22626,South,Direct,Electronics,1,142.79,0.05,136.5,0
ORD-000059,2024-01-02,C3699,East,Retail,Wellness,1,27.65,0.0,27.82,0
ORD-000060,2024-01-02,C20167,North,Marketplace,Apparel,3,53.01,0.1,144.02,0
ORD-000061,2024-01-02,C24562,North,Wholesale,Apparel,2,41.09,0.05,78.56,0
ORD-000062,2024-01-02,C16455,North,Marketplace,Beauty,2,44.45,0.15,76.04,0
ORD-000063,2024-01-02,C3522,West,Marketplace,Beauty,1,52.45,0.0,52.77,0
ORD-000064,2024-01-02,C9227,West,Marketplace,Electronics,1,118.42,0.05,113.19,1
ORD-000065,2024-01-02,C16922,South,Marketplace,Beauty,1,44.76,0.05,42.78,0
ORD-000066,2024-01-02,C19954,West,Direct,Beauty,1,44.43,0.05,42.47,0
